customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date
1,56.0,67700.0,1019.1456687232372,Female,South,31.0,Toys,12.501082008984366,2022-05-01,2022-02-27
2,69.0,50200.0,252.21469264488118,Male,North,27.0,Toys,14.402035805169955,2022-03-14,2022-07-03
3,46.0,84000.0,354.7423213106382,Male,East,25.0,Clothing,89.08576145077127,2022-07-17,2022-04-13
4,32.0,42700.0,716.573912692498,Male,West,5.0,Electronics,98.80080428479597,2022-07-09,2021-04-21
5,60.0,112300.0,1528.1182349030519,Female,West,6.0,Clothing,28.893785057171694,2021-04-21,2021-06-02
6,25.0,62000.0,1024.0231996393281,Male,West,5.0,Home & Garden,14.360272565471144,2021-11-18,2023-07-06
7,78.0,90500.0,1283.0457116148639,Female,East,27.0,Home & Garden,48.22122817562094,2022-06-11,2023-02-01
8,38.0,81000.0,1970.6456190795361,Male,East,8.0,Clothing,70.9528063576598,2021-06-26,2022-12-21
9,56.0,114300.0,1540.650761920155,Female,East,9.0,Clothing,61.2402908102972,2022-11-05,2023-05-30
10,75.0,83600.0,880.0357663196111,Female,West,15.0,Toys,95.11081820826126,2022-07-05,2022-11-13
11,36.0,56300.0,903.9550051571665,Male,North,36.0,Toys,81.77778839716281,2022-06-22,2023-02-08
12,40.0,27800.0,1245.16871254119,Female,East,41.0,Health,86.89721650640021,2022-09-16,2021-10-06
13,28.0,48100.0,1337.4231126694306,Female,South,7.0,Health,54.16671588490702,2022-04-18,2021-12-29
14,28.0,109600.0,1011.4076331566092,Female,East,32.0,Home & Garden,32.727519333145004,2022-07-17,2022-08-24
15,41.0,96900.0,1296.8252211736603,Male,South,8.0,Health,70.17360104605791,2022-01-23,2021-10-21
16,70.0,103600.0,66.59433893991556,Female,West,47.0,Health,43.90530399513951,2021-04-08,2023-05-21
17,53.0,36600.0,870.6532705157514,Male,South,15.0,Electronics,28.775424056232456,2022-02-15,2021-03-14
18,57.0,108400.0,572.297390625484,Male,East,37.0,Clothing,15.22706856722975,2022-01-10,2021-09-16
19,41.0,114500.0,275.76540158135856,Female,East,19.0,Toys,52.78742078895624,2021-06-19,2021-12-22
20,20.0,64900.0,217.10209536137478,Male,North,39.0,Health,59.425356719991875,2021-02-25,2022-07-25
21,39.0,30200.0,1214.3204879170416,Female,West,6.0,Toys,56.87856826541749,2021-11-21,2022-07-27
22,70.0,68400.0,1056.7290833621712,Male,South,19.0,Health,11.654836343355402,2022-10-20,2023-03-28
23,19.0,29900.0,522.0965516528111,Female,West,28.0,Health,56.99873195387431,2021-09-17,2023-12-30
24,41.0,90100.0,952.4811163695787,Male,East,17.0,Home & Garden,16.8414106805141,2022-10-03,2022-03-23
25,61.0,84100.0,994.6199840611685,Female,North,42.0,Electronics,66.3714165451469,2022-07-16,2023-02-22
26,47.0,78000.0,406.1177812684593,Female,East,19.0,Clothing,42.93839966655334,2021-12-06,2023-06-28
27,55.0,48200.0,1311.1442625256682,Female,East,31.0,Clothing,84.87885877391554,2022-02-08,2023-08-02
