customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,difference_between_last_purhcase_signup,Days since last purchase,purchase_group_by_monthsname
2,69.0,50200.0,252.2146926448812,Male,North,27.0,Toys,14.402035805169955,2022-03-14,2022-07-03,111,-1216,2022-07
5,60.0,112300.0,1528.118234903052,Female,West,6.0,Clothing,28.89378505717169,2021-04-21,2021-06-02,42,-1612,2021-06
6,25.0,62000.0,1024.023199639328,Male,West,5.0,Home & Garden,14.360272565471144,2021-11-18,2023-07-06,595,-848,2023-07
7,78.0,90500.0,1283.045711614864,Female,East,27.0,Home & Garden,48.22122817562094,2022-06-11,2023-02-01,235,-1003,2023-02
8,38.0,81000.0,1970.645619079536,Male,East,8.0,Clothing,70.9528063576598,2021-06-26,2022-12-21,543,-1045,2022-12
9,56.0,114300.0,1540.650761920155,Female,East,9.0,Clothing,61.2402908102972,2022-11-05,2023-05-30,206,-885,2023-05
10,75.0,83600.0,880.0357663196111,Female,West,15.0,Toys,95.11081820826126,2022-07-05,2022-11-13,131,-1083,2022-11
11,36.0,56300.0,903.9550051571664,Male,North,36.0,Toys,81.77778839716281,2022-06-22,2023-02-08,231,-996,2023-02
14,28.0,109600.0,1011.4076331566092,Female,East,32.0,Home & Garden,32.727519333145004,2022-07-17,2022-08-24,38,-1164,2022-08
16,70.0,103600.0,66.59433893991556,Female,West,47.0,Health,43.90530399513951,2021-04-08,2023-05-21,773,-894,2023-05
19,41.0,114500.0,275.76540158135856,Female,East,19.0,Toys,52.78742078895624,2021-06-19,2021-12-22,186,-1409,2021-12
20,20.0,64900.0,217.1020953613748,Male,North,39.0,Health,59.42535671999188,2021-02-25,2022-07-25,515,-1194,2022-07
21,39.0,30200.0,1214.3204879170416,Female,West,6.0,Toys,56.87856826541749,2021-11-21,2022-07-27,248,-1192,2022-07
22,70.0,68400.0,1056.7290833621712,Male,South,19.0,Health,11.654836343355402,2022-10-20,2023-03-28,159,-948,2023-03
23,19.0,29900.0,522.0965516528111,Female,West,28.0,Health,56.99873195387431,2021-09-17,2023-12-30,834,-671,2023-12
25,61.0,84100.0,994.6199840611685,Female,North,42.0,Electronics,66.3714165451469,2022-07-16,2023-02-22,221,-982,2023-02
26,47.0,78000.0,406.1177812684593,Female,East,19.0,Clothing,42.93839966655334,2021-12-06,2023-06-28,569,-856,2023-06
27,55.0,48200.0,1311.1442625256682,Female,East,31.0,Clothing,84.87885877391554,2022-02-08,2023-08-02,540,-821,2023-08
28,19.0,112700.0,1566.220325644459,Female,East,11.0,Home & Garden,77.82657447937787,2022-06-16,2023-06-15,364,-869,2023-06
29,77.0,50000.0,1587.0978109612477,Male,South,15.0,Home & Garden,72.43820515166337,2021-06-23,2023-07-19,756,-835,2023-07
30,38.0,96300.0,1212.890264792841,Male,East,10.0,Clothing,70.07370993343022,2022-06-22,2022-09-29,99,-1128,2022-09
32,29.0,67300.0,140.7941431506819,Male,West,23.0,Electronics,6.111357612834434,2021-01-10,2022-06-15,521,-1234,2022-06
37,42.0,43900.0,320.51531150518207,Female,West,43.0,Clothing,92.90709148417106,2022-12-15,2023-12-04,354,-697,2023-12
38,66.0,37700.0,1781.3617042943745,Male,North,20.0,Electronics,24.94512669524324,2021-12-10,2022-06-08,180,-1241,2022-06
40,76.0,55200.0,1536.3414976851216,Male,West,22.0,Electronics,96.30407827356228,2022-01-08,2022-01-30,22,-1370,2022-01
42,45.0,116800.0,22.66561649399613,Male,South,39.0,Toys,1.4086412162869988,2021-02-15,2023-08-12,908,-811,2023-08
43,77.0,111100.0,768.6395241791525,Male,South,10.0,Toys,90.6107599861874,2022-12-30,2023-02-02,34,-1002,2023-02
44,33.0,97400.0,303.92283262156724,Male,South,21.0,Clothing,22.664729883307032,2021-02-24,2022-03-19,388,-1322,2022-03
45,32.0,71000.0,56.40456146016263,Female,West,29.0,Health,70.59325391660634,2021-03-19,2023-08-25,889,-798,2023-08
46,79.0,117700.0,938.8520450209191,Male,North,32.0,Home & Garden,55.30731073672155,2022-05-06,2023-06-11,401,-873,2023-06
51,61.0,98100.0,517.1386052570322,Male,South,23.0,Health,65.19126067329519,2021-04-21,2023-09-07,869,-785,2023-09
52,72.0,81600.0,1307.841992671251,Male,North,31.0,Health,29.057922890466227,2021-01-15,2022-04-07,447,-1303,2022-04
53,69.0,106300.0,440.4212690880447,Female,West,4.0,Toys,97.39502076577608,2021-03-19,2022-12-10,631,-1056,2022-12
57,68.0,55000.0,1993.880252806924,Male,West,2.0,Clothing,30.615929246613128,2021-10-02,2022-07-05,276,-1214,2022-07
58,24.0,105700.0,383.235754277454,Male,West,4.0,Electronics,14.85874276214022,2022-05-09,2023-07-25,442,-829,2023-07
60,26.0,26000.0,834.5216513969269,Male,East,15.0,Health,96.4222278087278,2022-01-11,2023-09-05,602,-787,2023-09
61,56.0,107600.0,270.24511636322086,Male,West,33.0,Clothing,41.143057638713,2021-03-04,2022-10-23,598,-1104,2022-10
62,35.0,37200.0,75.13093700327852,Female,South,6.0,Electronics,34.73337657310635,2021-12-27,2023-06-22,542,-862,2023-06
66,31.0,89600.0,975.7726766923304,Female,South,1.0,Electronics,84.96746181346077,2021-07-13,2023-02-09,576,-995,2023-02
70,43.0,115500.0,995.346030339192,Female,North,26.0,Toys,96.63334338056436,2021-10-28,2023-02-07,467,-997,2023-02
71,70.0,77900.0,1274.1552456794116,Male,West,44.0,Clothing,15.658137617896385,2022-07-22,2022-10-05,75,-1122,2022-10
72,19.0,37000.0,1614.9413088805927,Female,South,12.0,Home & Garden,18.630961750245024,2022-11-03,2023-11-11,373,-720,2023-11
73,37.0,65900.0,807.8106676029056,Male,North,22.0,Home & Garden,92.68163539283984,2022-05-11,2022-08-13,94,-1175,2022-08
74,45.0,78300.0,1615.8382237178157,Female,West,13.0,Home & Garden,70.56876464523825,2021-05-29,2021-12-28,213,-1403,2021-12
78,61.0,42200.0,738.2521287903211,Male,West,30.0,Health,43.26715339176942,2021-12-01,2023-12-11,740,-690,2023-12
79,78.0,90200.0,1102.4587300267528,Male,West,44.0,Home & Garden,77.7901494487037,2022-11-30,2023-04-22,143,-923,2023-04
